quantization,model_size_gb,init_time_sec,avg_inference_time_sec,std_inference_time_sec,total_inference_time_sec,total_time_sec,avg_quality_score,std_quality_score,avg_text_length,num_images,num_success,vram_after_load_mb,vram_after_inference_mb
Q4_K_M,4.1,3.643648624420166,5.426068885119881,1.0657377890285935,1378.2214968204498,1381.86514544487,2.925196850393701,1.529987314235763,167.85826771653544,254,254,0.0,0.0
Q5_K_M,4.8,4.456403017044067,5.670066322867326,1.1357019319482229,1440.1968460083008,1444.6532490253448,3.175196850393701,1.3464063282011123,159.86220472440945,254,254,0.0,0.0
Q8_0,7.2,5.8625078201293945,7.629355975023405,1.4144380661675178,1937.8564176559448,1943.7189254760742,3.2696850393700787,1.3857778378082224,162.40944881889763,254,254,0.0,0.0
